title,image,runtime,genre,certificate,rating,metascore,description,votes,gross
Modern Family,"https://m.media-amazon.com/images/M/MV5BNzRhNWIxYTEtYjc2NS00YWFlLWFhOGEtMDZiMWM1M2RkNDkyXkEyXkFqcGdeQXVyNjc0MjkzNjc@._V1_UX67_CR0,0,67,98_AL_.jpg",22 min,"Comedy, Drama, Romance",12+,8.4,83.0,Three different but related families face trials and tribulations in their own uniquely comedic ways.,"335,267",
In the Dark,"https://m.media-amazon.com/images/M/MV5BYzcxMzJlYzktYjI2ZS00NGNkLWI4YzQtMGZkNjYwMTYxMGM1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY98_CR5,0,67,98_AL_.jpg",42 min,"Comedy, Drama",15+,7.4,83.0,"A young, blind woman tries to solve her friend's murder.","4,676",
The Sopranos,"https://m.media-amazon.com/images/M/MV5BZGJjYzhjYTYtMDBjYy00OWU1LTg5OTYtNmYwOTZmZjE3ZDdhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY98_CR1,0,67,98_AL_.jpg",55 min,"Crime, Drama",15+,9.2,83.0,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.","283,547",
The Last Kingdom,"https://m.media-amazon.com/images/M/MV5BMjE1MzYzNjk3OF5BMl5BanBnXkFtZTgwMzk0MzYwNzE@._V1_UX67_CR0,0,67,98_AL_.jpg",60 min,"Action, Drama, History",18+,8.4,83.0,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright.","74,575",
Once Upon a Time... in Hollywood,"https://m.media-amazon.com/images/M/MV5BOTg4ZTNkZmUtMzNlZi00YmFjLTk1MmUtNWQwNTM0YjcyNTNkXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX67_CR0,0,67,98_AL_.jpg",161 min,"Comedy, Drama",A,7.7,83.0,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,"495,774",$142.50M
Love,"https://m.media-amazon.com/images/M/MV5BMTQzNDUwODk5NF5BMl5BanBnXkFtZTgwNzA0MDQ2NTE@._V1_UY98_CR1,0,67,98_AL_.jpg",135 min,"Drama, Romance",A,6.1,51.0,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with the unstable Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.","44,810",
The Outpost,"https://m.media-amazon.com/images/M/MV5BNWYyMzNjY2EtODVmYi00ODBmLWIyNGMtNDdhMGViY2RhNjcxXkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_UX67_CR0,0,67,98_AL_.jpg",123 min,"Drama, History, War",R,6.7,71.0,A small team of U.S. soldiers battle against hundreds of Taliban fighters in Afghanistan.,"6,140",
Outlander,"https://m.media-amazon.com/images/M/MV5BNzE3ZTYxZWYtMjQ1Ny00MzFhLWI1MGMtMDZmMzYwYjc1OWQ0XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UX67_CR0,0,67,98_AL_.jpg",64 min,"Drama, Fantasy, Romance",A,8.4,77.0,An English combat nurse from 1945 is mysteriously swept back in time to 1743.,"114,225",
Sons of Anarchy,"https://m.media-amazon.com/images/M/MV5BMTEyODg2NzkwMDBeQTJeQWpwZ15BbWU4MDQwODI3MzIx._V1_UX67_CR0,0,67,98_AL_.jpg",45 min,"Crime, Drama, Thriller",18,8.6,77.0,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,"247,193",
The Sinner,"https://m.media-amazon.com/images/M/MV5BODIwYmE0MGQtYmNhMS00ZjM4LWJkMzAtNjg5YzI4MzZjMjg3XkEyXkFqcGdeQXVyNjU2ODM5MjU@._V1_UX67_CR0,0,67,98_AL_.jpg",45 min,"Crime, Drama, Mystery",18,8.0,77.0,Anthology series that examines how and why ordinary people commit brutal crimes.,"78,929",
Black Mirror,"https://m.media-amazon.com/images/M/MV5BYTM3YWVhMDMtNjczMy00NGEyLWJhZDctYjNhMTRkNDE0ZTI1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",60 min,"Drama, Sci-Fi, Thriller",A,8.8,77.0,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","411,567",
Relic,"https://m.media-amazon.com/images/M/MV5BOGY1MGM2ZjItZDJjMC00ZGM0LTg2MDctNmExNzcyYTcwMjM3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",89 min,"Drama, Horror",R,5.9,77.0,"A daughter, mother and grandmother are haunted by a manifestation of dementia that consumes their family's home.","6,062",
The Blacklist,"https://m.media-amazon.com/images/M/MV5BZDU1OGI3NWItZTliOS00OWYxLTliNDktYTFjODcxNmE1NTNmXkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_UX67_CR0,0,67,98_AL_.jpg",43 min,"Crime, Drama, Mystery",16+,8.0,,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","183,719",
Breathe: Into the Shadows,"https://m.media-amazon.com/images/M/MV5BMDI0N2NjNzctY2RkOC00OWNkLTg2MzMtMGU0YTUzNGJkYmNlXkEyXkFqcGdeQXVyNTM1MzM4Nzk@._V1_UX67_CR0,0,67,98_AL_.jpg",46 min,"Drama, Thriller",16,7.8,,"""A father's love can save a life... or take one,"" sets the tone for a dark and gritty series.","6,824",
Westworld,"https://m.media-amazon.com/images/M/MV5BMTRmYzNmOTctZjMwOS00ODZlLWJiZGQtNDg5NDY5NjE3MTczXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",62 min,"Drama, Mystery, Sci-Fi",A,8.7,,"Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence.","407,380",
