title,image,runtime,genre,certificate,rating,metascore,description,votes,gross
Desperados,"https://m.media-amazon.com/images/M/MV5BNTdlNmE0MWQtMWVjMC00MzRiLWJhN2MtN2NjNDFlNDg3MTY1XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_UY98_CR1,0,67,98_AL_.jpg",105 min,"Comedy, Romance",16,5.2,41.0,"A panicked young woman, with her reluctant friends in tow, rushes to Mexico to try and delete a ranting email she sent to her new boyfriend.","5,620",
Bones,"https://m.media-amazon.com/images/M/MV5BMjA3ODMxMzM5NF5BMl5BanBnXkFtZTgwMDM1NjU0OTE@._V1_UX67_CR0,0,67,98_AL_.jpg",40 min,"Comedy, Crime, Drama",16+,7.8,82.0,"Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones.","135,269",
Once Upon a Time,"https://m.media-amazon.com/images/M/MV5BNjBmZmI0ZDktODI2MS00MDU1LTk0NDYtNGE0MDc0OWVkYzcwXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_UX67_CR0,0,67,98_AL_.jpg",60 min,"Adventure, Fantasy, Romance",16+,7.7,82.0,A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.,"203,893",
After We Collided,"https://m.media-amazon.com/images/M/MV5BNTJmOTE3YjctNTllMy00YmYwLWE5OGItZGIzMjcxNzA4YWFkXkEyXkFqcGdeQXVyMTIwMjAzNDIz._V1_UY98_CR0,0,67,98_AL_.jpg",129 min,"Drama, Romance",13,5.9,82.0,"Based on the 2014 romance novel of the same name, this follows the love life of two young adults.","1,319",
Indian Matchmaking,"https://m.media-amazon.com/images/M/MV5BY2E2NDFhNjItYjM4Ni00Y2EwLWIwNTgtYzlmMjM3NGUwOTgxXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_UY98_CR1,0,67,98_AL_.jpg",129 min,"Reality-TV, Romance",13,5.9,82.0,"Matchmaker Sima Taparia guides clients in the U.S. and India in the arranged marriage process, offering an inside look at the custom in a modern era.","1,319",
Pride & Prejudice,"https://m.media-amazon.com/images/M/MV5BMTA1NDQ3NTcyOTNeQTJeQWpwZ15BbWU3MDA0MzA4MzE@._V1_UX67_CR0,0,67,98_AL_.jpg",129 min,"Drama, Romance",PG,7.8,82.0,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?","245,667",$38.41M
This Is Us,"https://m.media-amazon.com/images/M/MV5BMDM2YTMzMWMtNmFhZi00ZWY4LTk1ZmUtMWExNzg3NDZmMTY4XkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX67_CR0,0,67,98_AL_.jpg",45 min,"Comedy, Drama, Romance",16,8.7,56.0,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents.","95,131",
Two and a Half Men,"https://m.media-amazon.com/images/M/MV5BOTI2MjIzN2ItZDg0OS00MTlhLWIzMTMtYWI4ZTA0NGE4NDJlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX67_CR0,0,67,98_AL_.jpg",22 min,"Comedy, Romance",16+,7.0,56.0,A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.,"235,832",
Riverdale,"https://m.media-amazon.com/images/M/MV5BNDYxOTU0NDYtYzg2MC00YzgyLTg1YzctMDc1MGJmOGIzMTc3XkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX67_CR0,0,67,98_AL_.jpg",45 min,"Crime, Drama, Mystery",13+,7.0,56.0,"While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.","109,108",
Normal People,"https://m.media-amazon.com/images/M/MV5BNzMzYmRiNGEtMDg5OC00OGZmLWFmNDktYzRlZTFkZmZiMjAzXkEyXkFqcGdeQXVyMTE2OTE2MzE1._V1_UX67_CR0,0,67,98_AL_.jpg",109 min,"Drama, Romance",PG-13,8.6,56.0,"Follows Marianne and Connell, from different backgrounds but the same small town in Ireland, as they weave in and out of each other's romantic lives.","22,037",
Radioactive,"https://m.media-amazon.com/images/M/MV5BZGZkNzY3MmUtYjJlNC00NTM0LWFiNmYtZDA4NzBiMmU1MzI4XkEyXkFqcGdeQXVyODE0OTU5Nzg@._V1_UX67_CR0,0,67,98_AL_.jpg",109 min,"Biography, Drama, Romance",PG-13,6.1,56.0,"Pioneer - Rebel - Genius. Radioactive is incredible, true-story of Marie Curie and her Nobel Prize-winning work that changed the world starring Rosamund Pike and Sam Riley.","2,646",
Little Women,"https://m.media-amazon.com/images/M/MV5BY2QzYTQyYzItMzAwYi00YjZlLThjNTUtNzMyMDdkYzJiNWM4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",135 min,"Drama, Romance",U,7.9,91.0,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.","117,076",$108.10M
ER,"https://m.media-amazon.com/images/M/MV5BYWQ0YTQ1ZmQtNzk1NC00NzMzLWJjNDYtMDQ0MTcxMThhYTI0XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY98_CR1,0,67,98_AL_.jpg",44 min,"Drama, Romance",UA,7.7,56.0,"The lives, loves and losses of the doctors and nurses of Chicago's County General Hospital.","48,604",
Twilight,"https://m.media-amazon.com/images/M/MV5BMTQ2NzUxMTAxN15BMl5BanBnXkFtZTcwMzEyMTIwMg@@._V1_UX67_CR0,0,67,98_AL_.jpg",122 min,"Drama, Fantasy, Romance",UA,5.2,56.0,"Bella Swan moves to Forks and encounters Edward Cullen, a gorgeous boy with a secret.","414,497",$191.47M
Sweet Magnolias,"https://m.media-amazon.com/images/M/MV5BZjBmNTI2ZDEtOThhMy00OTkyLTg5Y2ItMTUxMzU4NWI1MzhhXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_UY98_CR1,0,67,98_AL_.jpg",50 min,"Drama, Romance",16,7.4,46.0,"Centers on three South Carolina women, best friends since high school, as they shepherd each other through the complexities of romance, career, and family.","5,341",
Outer Banks,"https://m.media-amazon.com/images/M/MV5BN2FhYjRmNDUtMzc2ZS00MTUwLTg3NzItZDU5YWVhY2Q0NzMwXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",50 min,"Action, Crime, Drama",18,7.6,46.0,A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret.,"14,466",
Hart of Dixie,"https://m.media-amazon.com/images/M/MV5BMTk2NDU1MzQ3NF5BMl5BanBnXkFtZTcwNDk2NzQzNg@@._V1_UX67_CR0,0,67,98_AL_.jpg",60 min,"Comedy, Drama, Romance",18,7.7,46.0,"New Yorker and new doctor Zoe Hart accepts an offer from a stranger, Dr. Harley Wilkes, to work in his medical practice in Bluebell, Alabama. She arrives to find he has died and left half the practice to her in his will.","43,565",
Teen Wolf,"https://m.media-amazon.com/images/M/MV5BMThlNTk3YzMtOTZjMi00M2NiLTg1NTgtYThiYzE2MDFmMDUwXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_UX67_CR0,0,67,98_AL_.jpg",41 min,"Action, Drama, Fantasy",18,7.6,46.0,An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.,"121,812",
Little Voice,"https://m.media-amazon.com/images/M/MV5BY2Q3M2UxNWMtZWYyNS00NWY5LWI2NzAtZmZkMjBlMjM5MDZlXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_UY98_CR15,0,67,98_AL_.jpg",60 min,"Comedy, Drama, Music",A,6.4,46.0,"A love letter to the diverse musicality of New York, it explores the universal journey of finding your authentic voice in your early 20s.",378,
One Tree Hill,"https://m.media-amazon.com/images/M/MV5BN2Y0NzRjOTQtNGNmYS00NjNiLWIwY2MtZWIyZDI5ZDhhZmI1XkEyXkFqcGdeQXVyODIxOTMwMjk@._V1_UY98_CR2,0,67,98_AL_.jpg",60 min,"Drama, Romance, Sport",PG-13,7.7,46.0,"Half-brothers Lucas and Nathan Scott trade between kinship and rivalry both on the basketball court and in the hearts of their friends in the small, but not so quiet town of Tree Hill, North Carolina.","69,897",
How Do You Know,"https://m.media-amazon.com/images/M/MV5BOTQyMzU4OTk1N15BMl5BanBnXkFtZTcwNTE5MTUxNA@@._V1_UX67_CR0,0,67,98_AL_.jpg",121 min,"Comedy, Drama, Romance",PG-13,5.4,46.0,"After being cut from the U.S.A. softball team and feeling a bit past her prime, Lisa finds herself evaluating her life and in the middle of a love triangle, as a corporate guy in crisis competes with her current, baseball-playing beau.","44,674",$30.21M
Gossip Girl,"https://m.media-amazon.com/images/M/MV5BNmQ4Zjg1YWYtMTA1Mi00ZGY1LTlmN2ItYTc5ODkzNTFmYWVhXkEyXkFqcGdeQXVyNjQ0OTk1ODg@._V1_UY98_CR4,0,67,98_AL_.jpg",42 min,"Drama, Romance",18,7.4,77.0,Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching.,"148,169",
The Princess Bride,"https://m.media-amazon.com/images/M/MV5BMGM4M2Q5N2MtNThkZS00NTc1LTk1NTItNWEyZjJjNDRmNDk5XkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_UX67_CR0,0,67,98_AL_.jpg",98 min,"Adventure, Family, Fantasy",U,8.1,77.0,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.","383,391",$30.86M
The Wrong Missy,"https://m.media-amazon.com/images/M/MV5BY2QwZWJlZjMtNzU5NC00NTA0LWI1MjQtYWQ1ZTg4NWZmNjdkXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX67_CR0,0,67,98_AL_.jpg",90 min,"Comedy, Romance",18,5.7,33.0,"Tim thinks he's invited the woman of his dreams on a work retreat to Hawaii, realizing too late he mistakenly texted someone from a nightmare blind date.","27,017",
That '70s Show,"https://m.media-amazon.com/images/M/MV5BN2RkZGE0MjAtZGVkOS00MzVhLTg0OWItZTc4OGRjOTQ1ZTM4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX67_CR0,0,67,98_AL_.jpg",22 min,"Comedy, Romance",18,8.1,41.0,"A comedy revolving around a group of teenage friends, their mishaps, and their coming of age, set in 1970s Wisconsin.","150,198",
A Nice Girl Like You,"https://m.media-amazon.com/images/M/MV5BZGVlZjkyMGItMWJiMC00MzFkLWIyYTMtZTU3Yjg3OTM3M2QwXkEyXkFqcGdeQXVyODQ2ODY5MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",94 min,"Comedy, Romance",R,5.0,41.0,"After being accused of being too inhibited by her ex-boyfriend, a violinist creates a rather wild to-do list that sends her on a whirlwind journey of self-discovery.",542,
The Good Place,"https://m.media-amazon.com/images/M/MV5BYmMxNjM0NmItNGU1Mi00OGMwLTkzMzctZmE3YjU1ZDE4NmFjXkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_UX67_CR0,0,67,98_AL_.jpg",22 min,"Comedy, Drama, Fantasy",13+,8.2,,Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.,"99,414",
True Blood,"https://m.media-amazon.com/images/M/MV5BMDVjZDQ2N2MtMzMxYy00ZjliLTg5YjAtNjk1OTUwYjVjNWQ0XkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_UX67_CR0,0,67,98_AL_.jpg",55 min,"Drama, Fantasy, Mystery",16+,7.8,,"Telepathic waitress Sookie Stackhouse (Anna Paquin) encounters a strange new supernatural world when she meets the mysterious Bill Compton (Stephen Moyer), a southern Louisiana gentleman and vampire.","225,395",
Spartacus: Blood and Sand,"https://m.media-amazon.com/images/M/MV5BZTEwZTM3MzUtMzk3Yy00YWI4LWI1ZTktOTc1MmRjZWM5ZDhmXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_UX67_CR0,0,67,98_AL_.jpg",55 min,"Action, Adventure, Biography",16+,8.5,,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.","217,132",
You,"https://m.media-amazon.com/images/M/MV5BZDJjOTg4OWYtYWIyOS00MjQ3LTg5ZDktYzU2N2RkNmYzNjZlXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UY98_CR0,0,67,98_AL_.jpg",45 min,"Crime, Drama, Romance",16+,7.8,,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.","127,587",
